Date,Time,Currency,Event,Impact_Level,Actual,Forecast,Previous
2025-03-05,14:45,EUR,French Industrial Production m/m,ORANGE,-0.6%,0.5%,-0.5%
2025-03-05,15:50,EUR,French Final Services PMI,ORANGE,45.3,44.6,44.5
2025-03-06,15:00,EUR,German Factory Orders m/m,RED,-7.0%,-2.4%,5.9%
2025-03-06,17:00,EUR,Retail Sales m/m,ORANGE,-0.3%,0.1%,0.0%
2025-03-06,18:15,EUR,Main Refinancing Rate,RED,2.65%,2.65%,2.90%
2025-03-06,18:15,EUR,Monetary Policy Statement,RED,,,
2025-03-06,18:45,EUR,ECB Press Conference,RED,,,
2025-03-07,17:00,EUR,Final Employment Change q/q,RED,0.1%,0.1%,0.1%
2025-03-07,17:00,EUR,Revised GDP q/q,RED,0.2%,0.1%,0.1%
2025-03-07,16:30,EUR,ECB President Lagarde Speaks,RED,,,
2025-03-07,14:45,EUR,French Prelim Private Payrolls q/q,ORANGE,-0.2%,-0.1%,0.1%
2025-03-07,14:45,EUR,French Trade Balance,ORANGE,-3.9B,-5.3B,-6.3B
2025-03-07,14:00,EUR,German Trade Balance,RED,20.7B,17.0B,19.2B
2025-03-07,14:00,EUR,German Industrial Production m/m,RED,-2.4%,-0.7%,1.3%
2025-03-10,17:00,EUR,German ifo Business Climate,RED,85.2,85.9,85.2
2025-03-10,18:00,EUR,Final Core CPI y/y,RED,2.7%,2.7%,2.7%
2025-03-10,18:00,EUR,Final CPI y/y,RED,2.5%,2.5%,2.5%
2025-03-11,15:00,EUR,Italian Industrial Production m/m,ORANGE,-3.1%,-0.1%,0.3%
2025-03-11,18:37,EUR,German 30-y Bond Auction,ORANGE,2.70|2.5,,2.84|2.8
2025-03-12,14:00,EUR,German Final CPI m/m,ORANGE,-0.2%,-0.2%,-0.2%
2025-03-12,17:00,EUR,ECB Economic Bulletin,ORANGE,,,
2025-03-12,18:00,EUR,Industrial Production m/m,ORANGE,-1.1%,-0.6%,0.4%
2025-03-13,18:00,EUR,Flash Employment Change q/q,RED,0.1%,0.1%,0.2%
2025-03-13,18:00,EUR,Flash GDP q/q,RED,0.1%,0.0%,0.0%
2025-03-13,15:00,EUR,German WPI m/m,ORANGE,0.9%,0.2%,0.1%
2025-03-14,17:00,EUR,German ifo Business Climate,RED,85.2,85.9,85.2
2025-03-14,18:00,EUR,Final Core CPI y/y,RED,2.7%,2.7%,2.7%
2025-03-14,18:00,EUR,Final CPI y/y,RED,2.5%,2.5%,2.5%
2025-03-17,17:00,EUR,German ZEW Economic Sentiment,RED,26.0,19.9,10.3
2025-03-17,17:00,EUR,ZEW Economic Sentiment,RED,24.2,24.3,18.0
2025-03-18,15:00,EUR,German GfK Consumer Climate,RED,-24.7,-21.7,-22.6
2025-03-18,17:00,EUR,M3 Money Supply y/y,ORANGE,3.6%,3.8%,3.4%
2025-03-18,17:00,EUR,Private Loans y/y,ORANGE,1.3%,1.2%,1.1%
2025-03-18,18:22,EUR,Italian 10-y Bond Auction,ORANGE,3.55|1.6,,3.60|1.8
2025-03-19,16:00,EUR,KOF Economic Barometer,ORANGE,101.7,101.9,103.0
2025-03-19,18:00,EUR,Italian Prelim CPI m/m,ORANGE,0.2%,0.2%,0.6%
2025-03-19,16:55,EUR,German Unemployment Change,RED,5K,14K,11K
2025-03-19,15:00,EUR,Spanish Flash CPI y/y,ORANGE,3.0%,3.0%,2.9%
2025-03-19,14:45,EUR,French Prelim GDP q/q,ORANGE,-0.1%,-0.1%,-0.1%
2025-03-19,14:45,EUR,French Prelim CPI m/m,ORANGE,0.0%,0.5%,0.2%
2025-03-19,14:45,EUR,French Consumer Spending m/m,ORANGE,-0.5%,-0.6%,0.7%
2025-03-19,14:00,EUR,German Retail Sales m/m,ORANGE,0.2%,0.4%,-0.9%
2025-03-19,14:00,EUR,German Import Prices m/m,ORANGE,1.1%,0.7%,0.4%
2025-03-20,All Day,EUR,German Prelim CPI m/m,RED,0.4%,0.4%,-0.2%
2025-03-21,15:15,EUR,French Flash Manufacturing PMI,ORANGE,45.5,45.3,45.0
2025-03-21,15:15,EUR,French Flash Services PMI,ORANGE,44.5,48.8,48.2
2025-03-21,16:00,EUR,German Flash Manufacturing PMI,ORANGE,46.1,45.4,45.0
2025-03-21,16:00,EUR,German Flash Services PMI,ORANGE,52.2,52.4,52.5
2025-03-21,17:00,EUR,Flash Manufacturing PMI,ORANGE,47.3,46.9,46.6
2025-03-21,17:00,EUR,Flash Services PMI,ORANGE,50.7,51.5,51.3
2025-03-24,18:00,EUR,Final Core CPI y/y,RED,2.7%,2.7%,2.7%
2025-03-24,18:00,EUR,Final CPI y/y,RED,2.5%,2.5%,2.5%
2025-03-24,17:00,EUR,German ifo Business Climate,RED,85.2,85.9,85.2
2025-03-25,17:00,EUR,German ZEW Economic Sentiment,RED,26.0,19.9,10.3
2025-03-25,17:00,EUR,ZEW Economic Sentiment,RED,24.2,24.3,18.0
2025-03-26,15:00,EUR,German GfK Consumer Climate,RED,-24.7,-21.7,-22.6
2025-03-26,17:00,EUR,M3 Money Supply y/y,ORANGE,3.6%,3.8%,3.4%
2025-03-26,17:00,EUR,Private Loans y/y,ORANGE,1.3%,1.2%,1.1%
2025-03-27,16:55,EUR,German Unemployment Change,RED,5K,14K,11K
2025-03-27,14:00,EUR,German Import Prices m/m,ORANGE,1.1%,0.7%,0.4%
2025-03-27,14:00,EUR,German Retail Sales m/m,ORANGE,0.2%,0.4%,-0.9%
2025-03-27,14:45,EUR,French Consumer Spending m/m,ORANGE,-0.5%,-0.6%,0.7%
2025-03-27,14:45,EUR,French Prelim CPI m/m,ORANGE,0.0%,0.5%,0.2%
2025-03-27,14:45,EUR,French Prelim GDP q/q,ORANGE,-0.1%,-0.1%,-0.1%
2025-03-27,15:00,EUR,Spanish Flash CPI y/y,ORANGE,3.0%,3.0%,2.9%
2025-03-27,16:00,EUR,KOF Economic Barometer,ORANGE,101.7,101.9,103.0
2025-03-27,18:00,EUR,Italian Prelim CPI m/m,ORANGE,0.2%,0.2%,0.6%
2025-03-28,All Day,EUR,German Prelim CPI m/m,RED,0.4%,0.4%,-0.2%
2025-03-31,All Day,EUR,German Prelim CPI m/m,RED,0.4%,0.4%,-0.2%
